year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1904,Отелло и гладиаторы,"Стахеев, Дмитрий Иванович",m,NOUN CONJ NOUN,NOUN CONJ NOUN,,0,3 лицо
1904,Фарисеи,Уманов-Каплуновский Владимир Васильевич,m,NOUN,NOUN,психологический роман,0,3 лицо
1904,Природа,"Фёдоров, Александр Митрофанович",m,NOUN,NOUN,,0,3 лицо
1904,Отмщение,Энпе,m,NOUN,NOUN,,0,
1905,Из жизни женщины,"Аничкова, Идалия Мечиславовна",f,PREP NOUN NOUN,PREP NOUN NOUN,,0,
1905,Родня,"Апраксин, Александр Дмитриевич",m,NOUN,NOUN,"автобиографический роман, детство и юность Апраксина",0,
1905,Кружковцы,"Басанин, Марк ",f,NOUN,NOUN,психологический,0,3 лицо
1905,Ерш и Пыж,"Волконский, Михаил Николаевич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,приключенческий роман,0,
1905,Месть дивы,"Гейнце, Николай Эдуардович",m,NOUN NOUN,NOUN NOUN,уголовно-бытовой; детектив,0,
1905,Святыни,"Голицын (Муравлин), Дмитрий Петрович",m,NOUN,NOUN,социально-психологический,0,3 лицо
1905,"Князь Япанча, лихой татарский наездник","Голохвастов, К.К.",m,NOUN NOUN ADJF ADJF NOUN,NOUN NOUN ADJF/PRTF ADJF/PRTF NOUN,"исторический, опричники, Казань, Иван Грозный",0,
1905,Полудержавный властелин,"Дмитриев, Дмитрий Савватиевич",m,ADJF NOUN,ADJF/PRTF NOUN,"исторический, придворные",0,
1905,Закат,"Жданов, Лев ",m,NOUN,NOUN,,0,
1905,Предсказание ворожеи,"Киснемский, Семен Петрович",m,NOUN NOUN,NOUN NOUN,Исторический роман; допетровская Русь,0,
1905,Царица хунхузов,"Красницкий, Александр Иванович",m,NOUN NOUN,NOUN NOUN,русский уголовный роман в 3 ч.,0,
1905,В родном углу,"Лейкин, Николай Александрович",m,PREP ADJF NOUN,PREP ADJF/PRTF NOUN,социально-психологический,0,3 лицо
